u,v,key,source,target,length
290206276,290206277,0,290206276,290206277,35.57091359510576
290206276,394770104,0,290206276,394770104,109.99205647445481
290206277,395095715,0,290206277,395095715,19.212223956979802
290206277,2623913446,0,290206277,2623913446,78.29454294047325
290206284,394662398,0,290206284,394662398,20.949202576169053
290206284,1468061840,0,290206284,1468061840,15.907761516638878
290206299,11278718443,0,290206299,11278718443,43.08431418868615
290206299,11278718454,0,290206299,11278718454,264.7941330149808
290206299,2625086510,0,290206299,2625086510,121.52074441544927
290206389,290206276,0,290206389,290206276,398.2340002567331
290206389,2625241119,0,290206389,2625241119,213.56580609431944
290206389,2628272331,0,290206389,2628272331,122.85242795214214
290206405,2623843104,0,290206405,2623843104,20.674461103625358
290206405,2627558595,0,290206405,2627558595,372.79099512253896
290206405,2625319200,0,290206405,2625319200,479.9634607924017
290206412,394770097,0,290206412,394770097,498.6464583323389
290206412,2625319200,0,290206412,2625319200,103.52054180199733
290206412,2623951366,0,290206412,2623951366,493.78645493856123
290206459,11330626881,0,290206459,11330626881,234.51289276029505
290206459,11330626874,0,290206459,11330626874,158.09907577799987
290206459,2627558518,0,290206459,2627558518,165.92339781007445
290206506,2638943993,0,290206506,2638943993,383.6089085377562
290206506,2638943956,0,290206506,2638943956,149.93357921512808
290206506,11330643412,0,290206506,11330643412,375.9683290573249
290206583,2592202720,0,290206583,2592202720,9.772455991585794
290206583,5870372409,0,290206583,5870372409,402.03814654486763
290206583,2592202701,0,290206583,2592202701,96.91206673420095
290206586,7517106895,0,290206586,7517106895,373.2421371821707
290206586,2592202696,0,290206586,2592202696,53.84988304442953
290206586,8023041748,0,290206586,8023041748,442.5784306192944
290206646,2645722012,0,290206646,2645722012,104.04999754722903
290206646,11553176151,0,290206646,11553176151,127.21560532332653
290206646,2630200819,0,290206646,2630200819,379.7454739481257
290206695,5831290208,0,290206695,5831290208,1095.9791146714806
290206695,5831289788,0,290206695,5831289788,184.73036490258107
290206695,394800668,0,290206695,394800668,40.933253879095226
290207300,5869694529,0,290207300,5869694529,1112.9797152650929
290207300,5292876866,0,290207300,5292876866,592.7287423532964
290207300,5869697316,0,290207300,5869697316,870.4684652746915
290207400,5869694495,0,290207400,5869694495,750.0421746872116
290207400,5869694687,0,290207400,5869694687,1962.3268401742903
290207400,5234412993,0,290207400,5234412993,104.44324264527921
290207613,5274683067,0,290207613,5274683067,190.56575986773683
290207613,4770534814,0,290207613,4770534814,39.42530863611544
290207613,11555389653,0,290207613,11555389653,122.58104624127338
290207628,5882977921,0,290207628,5882977921,68.84600155909555
290207628,7644039949,0,290207628,7644039949,185.45218620717944
290207628,5882978895,0,290207628,5882978895,441.3332546197373
290207636,4770534469,0,290207636,4770534469,107.91791852618259
290207636,5882977397,0,290207636,5882977397,110.1967162868166
290207636,5882977398,0,290207636,5882977398,110.91629209653101
290207641,5882977904,0,290207641,5882977904,68.26198882360373
290207641,5882977397,0,290207641,5882977397,50.59173321445416
290207641,5882978072,0,290207641,5882978072,447.3609749264227
290207647,4770534509,0,290207647,4770534509,90.79088393925528
290207647,5882978072,0,290207647,5882978072,52.623029874092175
290207647,2487152126,0,290207647,2487152126,99.57593981745124
290207690,3074144731,0,290207690,3074144731,27.06202723415154
290207690,5273270463,0,290207690,5273270463,29.50910737440336
290207690,12464811182,0,290207690,12464811182,15.095239261092281
290207706,4770518264,0,290207706,4770518264,145.736615938594
290207706,290207708,0,290207706,290207708,93.88097144948745
290207706,5232590436,0,290207706,5232590436,180.23050521647278
290207706,3251511475,0,290207706,3251511475,231.4019356554967
290207708,290207706,0,290207708,290207706,93.88097144948745
290207708,5232591486,0,290207708,5232591486,59.560382858206374
290207708,1842326946,0,290207708,1842326946,234.96053647864792
290207761,7531310518,0,290207761,7531310518,45.3861255380301
290207761,5870260465,0,290207761,5870260465,164.93859979070612
290207761,5870260653,0,290207761,5870260653,89.02781398820106
290207777,5870260450,0,290207777,5870260450,168.90818230925103
290207777,7526386768,0,290207777,7526386768,615.000360762424
290207777,5870260784,0,290207777,5870260784,550.2112648787296
290207785,5870260506,0,290207785,5870260506,402.26295823821016
290207785,5870260784,0,290207785,5870260784,184.6382111376229
290207785,11555379399,0,290207785,11555379399,74.02273072618149
290208907,2640251326,0,290208907,2640251326,1344.0135035369076
290208907,5877267652,0,290208907,5877267652,402.48494471086553
290208907,7550673374,0,290208907,7550673374,788.1360990536197
290208907,5864899157,0,290208907,5864899157,5284.29418481443
290209016,5877267591,0,290209016,5877267591,10.700140265285086
290209016,5877267833,0,290209016,5877267833,331.2623996866558
290209016,2329707457,0,290209016,2329707457,862.6055187525179
290209227,5877268558,0,290209227,5877268558,286.5583446474406
290209227,5864892326,0,290209227,5864892326,344.07644174781353
290209227,2329707558,0,290209227,2329707558,1204.904497304908
290209263,5877267998,0,290209263,5877267998,365.85196556682297
290209295,7538277772,0,290209295,7538277772,72.63585904804563
290209295,395351675,0,290209295,395351675,201.3632704667349
290209295,393089506,0,290209295,393089506,93.46054276639175
290209298,3903397788,0,290209298,3903397788,21.76377286338217
290209298,3903397822,0,290209298,3903397822,52.33806261991013
290209298,3903397798,0,290209298,3903397798,154.57156524463775
290209352,8118039813,0,290209352,8118039813,105.52939001813554
290209352,5234298517,0,290209352,5234298517,45.730073398638545
290209352,395350999,0,290209352,395350999,98.46680381596701
290209387,1092114461,0,290209387,1092114461,280.32280784880714
290209387,8118039808,0,290209387,8118039808,167.55894269808655
290209387,11432929518,0,290209387,11432929518,154.11741150156968
290209468,12070856225,0,290209468,12070856225,59.220955497149745
290209468,1092114410,0,290209468,1092114410,169.27437359467064
290209468,10867217691,0,290209468,10867217691,66.96887267629776
290209502,5864865669,0,290209502,5864865669,170.35067443625303
290209502,4770553788,0,290209502,4770553788,69.7186668497465
290209502,290209503,0,290209502,290209503,104.61606571684399
290209503,5864865681,0,290209503,5864865681,111.74227351626269
290209503,290209502,0,290209503,290209502,104.61606571684399
290209503,5864865793,0,290209503,5864865793,138.58869343743135
290209515,11332452520,0,290209515,11332452520,251.6038311657279
290209515,11332452461,0,290209515,11332452461,161.88280723234428
290209515,7521531149,0,290209515,7521531149,239.18524117465535
290209515,290209516,0,290209515,290209516,83.73383414104654
290209516,12070829032,0,290209516,12070829032,515.9876066080353
290209516,290209515,0,290209516,290209515,83.73383414104654
290209516,5234209717,0,290209516,5234209717,76.15873923409671
290209518,12070829037,0,290209518,12070829037,259.127184656092
290209518,5234209717,0,290209518,5234209717,139.3739899733074
290209518,4770554345,0,290209518,4770554345,344.9519116120601
290209589,5837909044,0,290209589,5837909044,299.23161173604245
290209589,5837909041,0,290209589,5837909041,155.79098422565704
290209589,5837909049,0,290209589,5837909049,105.935428239135
290209592,5837909059,0,290209592,5837909059,39.130012388667524
